titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Conseiller Commercial en Rachat de Crédit,PARTNERS FINANCES,Tanger-Tétouan-Al Hoceïma,"['Conseil ', ' Négociation ', ' Vente']",Bac+4 & Bac+5 et plus,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI & Anapec,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/conseiller-commercial-rachat-credit-8284602
Projeteur en Béton Armé  - Casablanca,BUILD CONSULTING AND ENGINEERING,Casablanca-Mohammedia,"['AUTOCAD ', ' Coffrage']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/projeteur-beton-arme-casablanca-8672342
Comptable Confirmée - Rabat,CAPEXIA,Rabat-Salé-Kénitra,"['Finance ', ' Gestion']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-confirmee-rabat-8672713
Ingénieurs Commerciaux Export  - Casablanca,OGE - GROUPE CAHORS,International,"['Devis ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/ingenieurs-commerciaux-export-casablanca-8682782
Agent Général - Lâayoune et Région,RMA ASSURANCE,Laâyoune,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-errachidiazaidaarfoud-8692152
Agent Général - Fès et Région,RMA ASSURANCE,Fès & Meknès,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-fesmeknestaza-8692168
Agent Général - Oujda et Région,RMA ASSURANCE,Oujda,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-oujdaberkanejerada-8692202
Agent Général - Agadir et Région,RMA ASSURANCE,Agadir,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-agadirtaroudanttantan-8692217
Directeur F/H - Fès,INSTITUT DE FORMATION AUX MÉTIERS DU BTP,Fès,"['Gestion ', ' Leadership ', ' Management ', ' Planification']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/directeur-fh-fes-8698922
Production Supervisor - Docteur en Pharmacie - Berrechid,ATLAS PHARM,Casablanca-Mohammedia,"['Maintenance ', ' Manufacturing ', ' Processing ', ' Production ', ' Qualité']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/production-supervisor-docteur-pharmacie-berrechid-8705627
Responsable Process Cheese H/F    - Fqih Ben Saleh,JIBAL,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"['Amélioration Continue ', ' Fabrication ', ' Gestion de la Qualité ', ' Hygiène ', ' Maintenance ', ' Process ', ' Processus ', ' Production ', ' Qualité']","Bac+2, Bac+3, Bac+4 - Bac+5 et plus",Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-process-cheese-hf-fqih-ben-saleh-8705679
Responsable Laboratoire Contrôle (H/F)  - Dar Bouazza,COLORADO,Casablanca-Mohammedia,"['Amélioration Continue ', ' Chimie ', ' Laboratoire ', ' Maintenance ', ' Processus ', ' Qualité']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,19.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-laboratoire-controle-hf-dar-bouazza-8706115
