_id,titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
678d1e2cf6d492c32cc01754,Agent Général - Lâayoune et Région,RMA ASSURANCE,Laâyoune,"['Suivi Commercial', 'Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/agent-general-errachidiazaidaarfoud-8692152
678d1e29f6d492c32cc01752,Ingénieurs Commerciaux Export  - Casablanca,OGE - GROUPE CAHORS,International,"['Devis', 'Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/ingenieurs-commerciaux-export-casablanca-8682782
678d1e32f6d492c32cc0175a,Agent Général - Agadir et Région,RMA ASSURANCE,Agadir,"['Suivi Commercial', 'Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/agent-general-agadirtaroudanttantan-8692217
678d1e2ef6d492c32cc01756,Agent Général - Fès et Région,RMA ASSURANCE,Fès & Meknès,"['Suivi Commercial', 'Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/agent-general-fesmeknestaza-8692168
678d1e25f6d492c32cc0174e,Projeteur en Béton Armé  - Casablanca,BUILD CONSULTING AND ENGINEERING,Casablanca-Mohammedia,"['AUTOCAD', 'Coffrage']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/projeteur-beton-arme-casablanca-8672342
678d1e30f6d492c32cc01758,Agent Général - Oujda et Région,RMA ASSURANCE,Oujda,"['Suivi Commercial', 'Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/agent-general-oujdaberkanejerada-8692202
678d1e36f6d492c32cc0175e,Production Supervisor - Docteur en Pharmacie - Berrechid,ATLAS PHARM,Casablanca-Mohammedia,"['Maintenance', 'Manufacturing', 'Processing', 'Production', 'Qualité']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/production-supervisor-docteur-pharmacie-berrechid-8705627
678d1e34f6d492c32cc0175c,Directeur F/H - Fès,INSTITUT DE FORMATION AUX MÉTIERS DU BTP,Fès,"['Gestion', 'Leadership', 'Management', 'Planification']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/directeur-fh-fes-8698922
678d1e27f6d492c32cc01750,Comptable Confirmée - Rabat,CAPEXIA,Rabat-Salé-Kénitra,"['Finance', 'Gestion']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/comptable-confirmee-rabat-8672713
678d1e23f6d492c32cc0174c,Conseiller Commercial en Rachat de Crédit,PARTNERS FINANCES,Tanger-Tétouan-Al Hoceïma,"['Conseil', 'Négociation', 'Vente']",Bac+4 & Bac+5 et plus,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI & Anapec,2025-01-19T00:00:00,https://www.emploi.ma/offre-emploi-maroc/conseiller-commercial-rachat-credit-8284602
