Titre,Entreprise,Description,Date de publication,Secteur d'activité,Fonction,Expérience requise,Niveau d'étude,Type de contrat
Confirmateur des Rendez-vous H/F | Tanger (Maroc),Imperial Com,"Impérial Com - L'Esprit de Communication

	Impérial Com est une agence de communication innovante, dédiée à offrir des solutions créatives et stratégiques. Nous accompagnons nos clients dans le...","Publication : du                                    14/01/2025
                                    au                                    02/03/2025
                                                                            |  Postes proposés: 3",Centre d'appel,Call Centers (métiers de),Moins de 1 an,Bac +2,CDI
Téléconseillers en prise des RDVS - Tanger | Tanger (Maroc),Imperial Com,"Impérial Com - L'Esprit de Communication

	Impérial Com est une agence de communication innovante, dédiée à offrir des solutions créatives et stratégiques. Nous accompagnons nos clients dans le...","Publication : du                                    14/01/2025
                                    au                                    12/02/2025
                                                                            |  Postes proposés: 25",Centre d'appel,Call Centers (métiers de),Débutant,Bac +2,CDI
Formateur en Relation Client | Tanger (Maroc),Imperial Com,"Impérial Com - L'Esprit de Communication

	Impérial Com est une agence de communication innovante, dédiée à offrir des solutions créatives et stratégiques. Nous accompagnons nos clients dans le...","Publication : du                                    14/01/2025
                                    au                                    21/02/2025
                                                                            |  Postes proposés: 2",Centre d'appel,Call Centers (métiers de),De 1 à 3 ans,Bac +2,CDI
Téléconseiller en prise des Rdvs Panneau Photovoltaïque Débutant ou Expérimenté H/F | Tanger (Maroc),Imperial Com,"Impérial Com - L'Esprit de Communication

	Impérial Com est une agence de communication innovante, dédiée à offrir des solutions créatives et stratégiques. Nous accompagnons nos clients dans le...","Publication : du                                    14/01/2025
                                    au                                    21/02/2025
                                                                            |  Postes proposés: 40",Centre d'appel,Call Centers (métiers de),Débutant,Bac +2,CDI
Téléconseiller en prise des Rdvs Rénovations d'Ampleur Débutant ou Expérimenté H/F (Tanger) | Tanger (Maroc),Imperial Com,"Impérial Com - L'Esprit de Communication

	Impérial Com est une agence de communication innovante, dédiée à offrir des solutions créatives et stratégiques. Nous accompagnons nos clients dans le...","Publication : du                                    14/01/2025
                                    au                                    08/03/2025
                                                                            |  Postes proposés: 25",Centre d'appel,Call Centers (métiers de),Débutant,Bac +2,CDI
Eca recrute des commerciaux en assurance :( 5000dhs + primes déplafonnées + transport assuré+..) | Casablanca (Maroc),Eca Assurances,"Acteur incontournable du courtage en Assurances, ECA Assurances construit depuis plus de 25 ans, des programmes d’Assurances à destination des particuliers, des travailleurs non-salariés et des entreprises. 

	Leader Français dans...","Publication : du                                    14/01/2025
                                    au                                    14/03/2025
                                                                            |  Postes proposés: 5",Centre d'appel,Call Centers (métiers de),De 1 à 3 ans,Bac,CDI
Rejoignez notre équipe en tant que téléconseiller en accompagnement crédit !(4500dh +primes+ we off) | Casablanca (Maroc),Eca Assurances,"Acteur incontournable du courtage en Assurances, ECA Assurances construit depuis plus de 25 ans, des programmes d’Assurances à destination des particuliers, des travailleurs non-salariés et des entreprises. 

	Leader Français dans...","Publication : du                                    14/01/2025
                                    au                                    14/03/2025
                                                                            |  Postes proposés: 5",Centre d'appel,Call Centers (métiers de),De 1 à 3 ans,Bac,CDI
Network Global Products Financial Controller | Rabat (Maroc),AXA Group Operations Maroc,"AXA Group Operations – Centre opérationnel d’excellence du Groupe AXA.

	Chez AXA, notre mission est de donner aux gens les moyens de vivre une vie meilleure. Grâce à l'innovation et à l'exécution, nous...","Publication : du                                    14/01/2025
                                    au                                    14/03/2025
                                                                            |  Postes proposés: 1",Banque / Finance,Gestion / Comptabilité / Finance,De 3 à 5 ans,Bac +4,CDI
Team Manager Francophone (H/F) | Rabat (Maroc),Foundever (ex Sitel Group),"Sitel Group devient officiellement Foundever™.

	Foundever™ est un leader mondial de l'expérience client (CX). Avec 170 000 collaborateurs dans le monde, nous sommes l’équipe...","Publication : du                                    14/01/2025
                                    au                                    23/02/2025
                                                                            |  Postes proposés: 4",Centre d'appel,Call Centers (métiers de),De 1 à 3 ans,Bac +2,CDI
Responsable Communication | Casablanca/Tanger (Maroc),Foundever (ex Sitel Group),"Sitel Group devient officiellement Foundever™.

	Foundever™ est un leader mondial de l'expérience client (CX). Avec 170 000 collaborateurs dans le monde, nous sommes l’équipe...","Publication : du                                    14/01/2025
                                    au                                    16/02/2025
                                                                            |  Postes proposés: 1",Centre d'appel,Communication / Publicité / RP,De 1 à 3 ans,Bac +5 et plus,CDI
IT Onsite Engineer | Rabat (Maroc),Foundever (ex Sitel Group),"Sitel Group devient officiellement Foundever™.

	Foundever™ est un leader mondial de l'expérience client (CX). Avec 170 000 collaborateurs dans le monde, nous sommes l’équipe...","Publication : du                                    14/01/2025
                                    au                                    25/01/2025
                                                                            |  Postes proposés: 1",Centre d'appel,Informatique / Electronique,De 1 à 3 ans,Bac +3,CDI
