titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Comptable (H/F)  - Meknès,PELLENC MAROC,Meknès,"['Comptabilité ', ' Comptabilité Financière ', ' États Financiers ', ' Facturation ', ' Finance ', ' Gestion ', ' Gestion de la Trésorerie ', ' Rapports Financiers ', ' Trésorerie']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-hf-meknes-8731713
Projeteur en Béton Armé  - Casablanca,BUILD CONSULTING AND ENGINEERING,Casablanca-Mohammedia,"['AUTOCAD ', ' Coffrage']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/projeteur-beton-arme-casablanca-8672342
Comptable Confirmée - Rabat,CAPEXIA,Rabat-Salé-Kénitra,"['Finance ', ' Gestion']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-confirmee-rabat-8672713
Ingénieur R&D - Formulation - Meknès,O'DASSIA,Meknès,"['Analyse Chimique ', ' Analyse de la Qualité ', ' Certification ', ' Certifications ISO ', ' Chimie ', ' Chimie Industrielle ', ' Formulation ', ' Polymères']",Bac+5 et plus,Débutant < 2 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/charge-affaires-casablanca-marrakech-8676927
Commercial Expérimenté en Gardiennage et Sécurité  - Rabat,ROBOTEC,Casablanca-Mohammedia - Rabat-Salé-Kénitra & Tanger-Tétouan-Al...,"['Actions Commerciales ', ' Communication ', ' Marketing ', ' Mobilité ', ' Négociation ', ' Organisation de Réunions ', ' Prospection ', ' Prospection Commerciale']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDD & Freelance,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/commercial-experimente-gardiennage-securite-rabat-8677806
Ingénieurs Commerciaux Export  - Casablanca,OGE - GROUPE CAHORS,International,"['Devis ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/ingenieurs-commerciaux-export-casablanca-8682782
Agent Général - Lâayoune et Région,RMA ASSURANCE,Laâyoune,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-errachidiazaidaarfoud-8692152
Agent Général - Rabat et Région,RMA ASSURANCE,Rabat-Salé-Kénitra,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-rabatsalekenitra-8692210
Agent Général - Agadir et Région,RMA ASSURANCE,Agadir,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-agadirtaroudanttantan-8692217
Agent Général - Tanger et Région,RMA ASSURANCE,Tanger-Tétouan-Al Hoceïma,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-tangertetouanm-diq-8692224
